vendor_guid,outcome_group_vendor_guid,parent_outcome_group_vendor_guid,title,description,calculation_method,calculation_int,mastery_points,0,1
CAP1.3.1.2,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.3.1.2 - may use fingers to represent the concealed items when the total of two screened parts is greater than ten,may use fingers to represent the concealed items when the total of two screened parts is greater than ten,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.3.1.3,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.3.1.3 - visualises concealed items and determines the total by counting from one,visualises concealed items and determines the total by counting from one,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.4.1.1,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.4.1.1 - counts on or back to solve problems,counts on or back to solve problems,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.4.1.2,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.4.1.2 - a number takes the place of a completed count,a number takes the place of a completed count,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.4.1.3,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.4.1.3 - counts on rather than counting from one to solve addition or missing addends tasks,counts on rather than counting from one to solve addition or missing addends tasks,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.4.1.4,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,"CAP1.4.1.4 - uses a count-down-from strategy, e.g. 17-3 as 16,15,14, answer 14, or a sount-down-to strategy, e.g. 17-14 as 16, 15, 14, answer 3, to solve subtraction tasks","uses a count-down-from strategy, e.g. 17-3 as 16,15,14, answer 14, or a sount-down-to strategy, e.g. 17-14 as 16, 15, 14, answer 3, to solve subtraction tasks",decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.4.1.5,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,CAP1.4.1.5 - counts on or back to solve problems,counts on or back to solve problems,decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.5.1.1,Aspect 2-Counting as a problem solving process - Early Arithmetical Strategies,NSW Numeracy Continuum,"CAP1.5.1.1 - uses known facts, number structure and other non-count-by-one strategies to solve problems (involving one or two digits)","uses known facts, number structure and other non-count-by-one strategies to solve problems (involving one or two digits)",decaying_average,65,1,Not Yet Achieved,Achieved
CAP1.5.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"CAP1.5.1.2 - uses known facts, number structure and other non-count-by-one strategies to solve problems (involving one or two digits)","uses known facts, number structure and other non-count-by-one strategies to solve problems (involving one or two digits)",decaying_average,65,1,Not Yet Achieved,Achieved
PN1.4.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.4.1.2 - creates a pattern of repeated units of a specified size,creates a pattern of repeated units of a specified size,decaying_average,65,1,Not Yet Achieved,Achieved
PN1.5.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.5.1.1 - uses part-whole knowledge to ten. Knows number combinations to ten and how many more are needed to make ten,uses part-whole knowledge to ten. Knows number combinations to ten and how many more are needed to make ten,decaying_average,65,1,Not Yet Achieved,Achieved
PN1.5.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,PN1.5.1.2 - uses part-whole knowledge to ten. Knows number combinations to ten and how many more are needed to make ten,uses part-whole knowledge to ten. Knows number combinations to ten and how many more are needed to make ten,decaying_average,65,1,Not Yet Achieved,Achieved
PN1.6.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"PN1.6.1.1 - knows or easily derives number combinations to 20. For example, 7 + 8 might be instantly recalled or treated as one more of less than a double. Partitions numbers to 20 in both standard and non-standard form","knows or easily derives number combinations to 20. For example, 7 + 8 might be instantly recalled or treated as one more of less than a double. Partitions numbers to 20 in both standard and non-standard form",decaying_average,65,1,Not Yet Achieved,Achieved
PN1.6.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"PN1.6.1.2 - knows or easily derives number combinations to 20. For example, 7 + 8 might be instantly recalled or treated as one more of less than a double. Partitions numbers to 20 in both standard and non-standard form","knows or easily derives number combinations to 20. For example, 7 + 8 might be instantly recalled or treated as one more of less than a double. Partitions numbers to 20 in both standard and non-standard form",decaying_average,65,1,Not Yet Achieved,Achieved
PN1.7.1.1,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"PN1.7.1.1 - understands the structural properties of numbers including how to regroup when operating with numbers. For example, 9 x 6 = 6 x 6 + 3 x 6, 27 + 38 + 3 = (27 + 3) + 38.","understands the structural properties of numbers including how to regroup when operating with numbers. For example, 9 x 6 = 6 x 6 + 3 x 6, 27 + 38 + 3 = (27 + 3) + 38.",decaying_average,65,1,Not Yet Achieved,Achieved
PN1.7.1.2,Aspect 3-Pattern and number structure,NSW Numeracy Continuum,"PN1.7.1.2 - understands the structural properties of numbers including how to regroup when operating with numbers. For example, 9 x 6 = 6 x 6 + 3 x 6, 27 + 38 + 3 = (27 + 3) + 38.","understands the structural properties of numbers including how to regroup when operating with numbers. For example, 9 x 6 = 6 x 6 + 3 x 6, 27 + 38 + 3 = (27 + 3) + 38.",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.1.1,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.4.1.1 - uses hundreds, tens and ones in standard decompositions, e.g. 326 as three groups of 100, two groups of 10 and six ones","uses hundreds, tens and ones in standard decompositions, e.g. 326 as three groups of 100, two groups of 10 and six ones",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.1.2,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.4.1.2 - uses hundreds, tens and ones in standard decompositions, e.g. 326 as three groups of 100, two groups of 10 and six ones","uses hundreds, tens and ones in standard decompositions, e.g. 326 as three groups of 100, two groups of 10 and six ones",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.1.3,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.1.3 - increments by hundreds and tens to add mentally,increments by hundreds and tens to add mentally,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.1.4,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.1.4 - increments by hundreds and tens to add mentally,increments by hundreds and tens to add mentally,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.1.5,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.1.5 - determines the number of tens in 621 without counting by ten,determines the number of tens in 621 without counting by ten,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.1.6,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.1.6 - determines the number of tens in 621 without counting by ten,determines the number of tens in 621 without counting by ten,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.2.1,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.2.1 - adds and subtracts mentally combinations of numbers to 1000,adds and subtracts mentally combinations of numbers to 1000,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.2.2,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.2.2 - uses the positional value of numbers flexibly in regrouping without a need to rely on incrementing by tens or hundreds,uses the positional value of numbers flexibly in regrouping without a need to rely on incrementing by tens or hundreds,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.2.3,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.2.3 - uses a part-whole knowledge of numbers to 1000,uses a part-whole knowledge of numbers to 1000,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.2.4,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.2.4 - adds and subtracts mentally combinations of numbers to 1000,adds and subtracts mentally combinations of numbers to 1000,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.2.5,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.2.5 - uses the positional value of numbers flexibly in regrouping without a need to rely on incrementing by tens or hundreds,uses the positional value of numbers flexibly in regrouping without a need to rely on incrementing by tens or hundreds,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.4.2.6,Aspect 4- Place value,NSW Numeracy Continuum,PV1.4.2.6 - uses a part-whole knowledge of numbers to 1000,uses a part-whole knowledge of numbers to 1000,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.5.1.1,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.5.1.1 - uses tenths and hundredths to represent fractional parts with an understanding of the positional value of decimals, e.g. 0.8 is larger than 0.75 because of the positional value of the digits","uses tenths and hundredths to represent fractional parts with an understanding of the positional value of decimals, e.g. 0.8 is larger than 0.75 because of the positional value of the digits",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.5.1.2,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.5.1.2 - uses tenths and hundredths to represent fractional parts with an understanding of the positional value of decimals, e.g. 0.8 is larger than 0.75 because of the positional value of the digits","uses tenths and hundredths to represent fractional parts with an understanding of the positional value of decimals, e.g. 0.8 is larger than 0.75 because of the positional value of the digits",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.5.1.3,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.5.1.3 - interchanges tenths and hundredths, e.g. 0.75 may be thought of as seven tenths and five hundredths","interchanges tenths and hundredths, e.g. 0.75 may be thought of as seven tenths and five hundredths",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.5.1.4,Aspect 4- Place value,NSW Numeracy Continuum,"PV1.5.1.4 - interchanges tenths and hundredths, e.g. 0.75 may be thought of as seven tenths and five hundredths","interchanges tenths and hundredths, e.g. 0.75 may be thought of as seven tenths and five hundredths",decaying_average,65,1,Not Yet Achieved,Achieved
PV1.6.1.1,Aspect 4- Place value,NSW Numeracy Continuum,PV1.6.1.1 - recognises that the place value system can be extended indefinitely in two directions to the left and right of the decimal point,recognises that the place value system can be extended indefinitely in two directions_to the left and right of the decimal point,decaying_average,65,1,Not Yet Achieved,Achieved
PV1.6.1.2,Aspect 4- Place value,NSW Numeracy Continuum,PV1.6.1.2 - recognises the relationship between values of adjacent places (units) in a numeral,recognises the relationship between values of adjacent places (units) in a numeral,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.3.1.6,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.3.1.6 - needs to represent the groups before determining the total,needs to represent the groups before determining the total,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.1,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.1 - uses composite units in repeated addition and subtraction using the unit a specified number of times,uses composite units in repeated addition and subtraction using the unit a specified number of times,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.2,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.2 - may use skip counting or a double count,may use skip counting or a double count,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.3,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.3 - may use fingers to keep track of the number or groups but as the counting occurs,may use fingers to keep track of the number or groups but as the counting occurs,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.4,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.4 - is not dependent upon perceptual markers to represent groups,is not dependent upon perceptual markers to represent groups,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.5,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.5 - uses composite units in repeated addition and subtraction using the unit a specified number of times,uses composite units in repeated addition and subtraction using the unit a specified number of times,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.6,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.6 - may use skip counting or a double count,may use skip counting or a double count,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.7,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.7 - may use fingers to keep track of the number or groups but as the counting occurs,may use fingers to keep track of the number or groups but as the counting occurs,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.4.1.8,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.4.1.8 - is not dependent upon perceptual markers to represent groups,is not dependent upon perceptual markers to represent groups,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.5.1.1,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,"MD1.5.1.1 - coordinates two composite units as an operation, e.g. 6 time 3 is 18; 18 / 6 = 3","coordinates two composite units as an operation, e.g. 6 time 3 is 18; 18 / 6 = 3",decaying_average,65,1,Not Yet Achieved,Achieved
MD1.5.1.2,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.5.1.2 - uses multiplication and division as inverse operations fleixbly in problem solving tasks,uses multiplication and division as inverse operations fleixbly in problem solving tasks,decaying_average,65,1,Not Yet Achieved,Achieved
MD1.5.1.3,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,"MD1.5.1.3 - coordinates two composite units as an operation, e.g. 6 time 3 is 18; 18 / 6 = 3","coordinates two composite units as an operation, e.g. 6 time 3 is 18; 18 / 6 = 3",decaying_average,65,1,Not Yet Achieved,Achieved
MD1.5.1.4,Aspect 5- Multiplication and Division,NSW Numeracy Continuum,MD1.5.1.4 - uses multiplication and division as inverse operations fleixbly in problem solving tasks,uses multiplication and division as inverse operations fleixbly in problem solving tasks,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.4.1.1,Aspect 6- Fraction Units,NSW Numeracy Continuum,"FU1.4.1.1 - when iterating a fraction part such as one-third beyond the whole, re-forms the whole","when iterating a fraction part such as one-third beyond the whole, re-forms the whole",decaying_average,65,1,Not Yet Achieved,Achieved
FU1.4.1.2,Aspect 6- Fraction Units,NSW Numeracy Continuum,"FU1.4.1.2 - when iterating a fraction part such as one-third beyond the whole, re-forms the whole","when iterating a fraction part such as one-third beyond the whole, re-forms the whole",decaying_average,65,1,Not Yet Achieved,Achieved
FU1.5.1.1,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.5.1.1 - coordinates composition of partitioning (i.e. can find one-third of one-half to create one-sixth),coordinates composition of partitioning (i.e. can find one-third of one-half to create one-sixth),decaying_average,65,1,Not Yet Achieved,Achieved
FU1.5.1.2,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.5.1.2 - creates equivalent fractions using equivalent equal wholes. Coordinates units at three levels to move between equivalent fraction forms,creates equivalent fractions using equivalent equal wholes. Coordinates units at three levels to move between equivalent fraction forms,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.5.1.3,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.5.1.3 - coordinates composition of partitioning (i.e. can find one-third of one-half to create one-sixth),coordinates composition of partitioning (i.e. can find one-third of one-half to create one-sixth),decaying_average,65,1,Not Yet Achieved,Achieved
FU1.5.1.4,Aspect 6- Fraction Units,NSW Numeracy Continuum,FU1.5.1.4 - creates equivalent fractions using equivalent equal wholes. Coordinates units at three levels to move between equivalent fraction forms,creates equivalent fractions using equivalent equal wholes. Coordinates units at three levels to move between equivalent fraction forms,decaying_average,65,1,Not Yet Achieved,Achieved
FU1.6.1.1,Aspect 6- Fraction Units,NSW Numeracy Continuum,"FU1.6.1.1 - identifies the need to have equal wholes to compare fractional parts. Uses fractions as numbers, i.e. 1/3 > 1/4, including improper fractions.","identifies the need to have equal wholes to compare fractional parts. Uses fractions as numbers, i.e. 1/3 > 1/4, including improper fractions.",decaying_average,65,1,Not Yet Achieved,Achieved
FU1.6.1.2,Aspect 6- Fraction Units,NSW Numeracy Continuum,"FU1.6.1.2 - identifies the need to have equal wholes to compare fractional parts. Uses fractions as numbers, i.e. 1/3 > 1/4, including improper fractions.","identifies the need to have equal wholes to compare fractional parts. Uses fractions as numbers, i.e. 1/3 > 1/4, including improper fractions.",decaying_average,65,1,Not Yet Achieved,Achieved
US1.5.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.5.1.3 - chooses and uses a selection of the same size and type of units to measure by indirect comparison,chooses and uses a selection of the same size and type of units to measure by indirect comparison,decaying_average,65,1,Not Yet Achieved,Achieved
US1.5.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.5.1.4 - chooses and uses a selection of the same size and type of units to measure by indirect comparison,chooses and uses a selection of the same size and type of units to measure by indirect comparison,decaying_average,65,1,Not Yet Achieved,Achieved
US1.6.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.6.1.1 - uses a single unit repeatedly (iterating) to measure or construct length,uses a single unit repeatedly (iterating) to measure or construct length,decaying_average,65,1,Not Yet Achieved,Achieved
US1.6.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.6.1.2 - uses a single unit repeatedly (iterating) to measure or construct length,uses a single unit repeatedly (iterating) to measure or construct length,decaying_average,65,1,Not Yet Achieved,Achieved
US1.6.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.6.1.3 - make a multio-unit ruler by iterating a single unit and qualifying accumulated distance,make a multio-unit ruler by iterating a single unit and qualifying accumulated distance,decaying_average,65,1,Not Yet Achieved,Achieved
US1.6.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.6.1.4 - make a multio-unit ruler by iterating a single unit and qualifying accumulated distance,make a multio-unit ruler by iterating a single unit and qualifying accumulated distance,decaying_average,65,1,Not Yet Achieved,Achieved
US1.6.1.5,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.6.1.5 - identifies the quantitive relationship between length and number of units (i.e. if you halve the size of the units you will have twice as many units in the measure),identifies the quantitive relationship between length and number of units (i.e. if you halve the size of the units you will have twice as many units in the measure),decaying_average,65,1,Not Yet Achieved,Achieved
US1.6.1.6,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.6.1.6 - identifies the quantitive relationship between length and number of units (i.e. if you halve the size of the units you will have twice as many units in the measure),identifies the quantitive relationship between length and number of units (i.e. if you halve the size of the units you will have twice as many units in the measure),decaying_average,65,1,Not Yet Achieved,Achieved
US1.7.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.7.1.1 - creates the row-column structure of the iterated composite unit of area,creates the row-column structure of the iterated composite unit of area,decaying_average,65,1,Not Yet Achieved,Achieved
US1.7.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.7.1.2 - creates the row-column structure of the iterated composite unit of area,creates the row-column structure of the iterated composite unit of area,decaying_average,65,1,Not Yet Achieved,Achieved
US1.7.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.7.1.3 - uses the row-column structure to find the number of units to measure area,uses the row-column structure to find the number of units to measure area,decaying_average,65,1,Not Yet Achieved,Achieved
US1.7.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.7.1.4 - uses the row-column structure to find the number of units to measure area,uses the row-column structure to find the number of units to measure area,decaying_average,65,1,Not Yet Achieved,Achieved
US1.8.1.1,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.8.1.1 - creates the row-column-layer structure of the iterated layers when measuring volume,creates the row-column-layer structure of the iterated layers when measuring volume,decaying_average,65,1,Not Yet Achieved,Achieved
US1.8.1.2,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.8.1.2 - creates the row-column-layer structure of the iterated layers when measuring volume,creates the row-column-layer structure of the iterated layers when measuring volume,decaying_average,65,1,Not Yet Achieved,Achieved
US1.8.1.3,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.8.1.3 - uses the row-colum-layer structure to find the number of units to measure volume,uses the row-colum-layer structure to find the number of units to measure volume,decaying_average,65,1,Not Yet Achieved,Achieved
US1.8.1.4,"Aspect 7-Unit Structure of length, area and volume",NSW Numeracy Continuum,US1.8.1.4 - uses the row-colum-layer structure to find the number of units to measure volume,uses the row-colum-layer structure to find the number of units to measure volume,decaying_average,65,1,Not Yet Achieved,Achieved
